Gene_Name	LINC0022
LINC00221_CN	AL122127.
AL122127.3_CN	IGHV4-3
IGHV4-31_CN	IGHV4-3
IGHV4-39_CN	OR4M
OR4M1_CN	RN7SL432
RN7SL432P_CN	KCNJ1
KCNJ12_CN	HIPK
HIPK1_CN	AP4B
AP4B1_CN	MAGI
MAGI3_CN	SLC35E2
SLC35E2B_CN	OR4N
OR4N2_CN	IGHV3-6
IGHV3-64_CN	CTB-31N19.
CTB-31N19.3_CN	IGHV4-2
IGHV4-28_CN	IGHV1-6
IGHV1-69_CN	IGHV3-3
IGHV3-30_CN	RP5-1073O3.
RP5-1073O3.2_CN	FAM157
FAM157B_CN	NG
NGF_CN	IGHV1-4
IGHV1-45_CN	RP11-195B21.
RP11-195B21.3_CN	AP4B1-AS
AP4B1-AS1_CN	IGHV3-3
IGHV3-38_CN	IGHV3-4
IGHV3-49_CN	POTEH-AS
POTEH-AS1_CN	RNU6-196
RNU6-196P_CN	BCL2L1
BCL2L15_CN	IGHV3-4
IGHV3-48_CN	IGHV1-4
IGHV1-46_CN	IGHV4-3
IGHV4-34_CN	IGHV3-3
IGHV3-35_CN	RP11-885N19.
RP11-885N19.6_CN	RNU6-1005
RNU6-1005P_CN	LA16c-83F12.
LA16c-83F12.6_CN	IGHV3-6
IGHV3-66_CN	RP11-345P4.1
RP11-345P4.10_CN	RP11-31F15.
RP11-31F15.1_CN	
